code,language,resource_level,morphology,syntactics,genetics
af,afrikaans,medium,introflexive,SVO,germanic
sq,albanian,medium,fusional,SVO,albanoid
am,amharic,extremely_low,introflexive,SOV,semitic
ar,arabic,medium,introflexive,SVO,semitic
hy,armenian,low,agglutinative,SOV,armenian
az,azerbaijani,medium,fusional,SOV,turkic
eu,basque,low,agglutinative,SOV,basque
be,belarusian,medium,fusional,SVO,slavic
bn,bengali,medium,fusional,SOV,indo-iranian
bs,bosnian,medium,fusional,SVO,slavic
bg,bulgarian,medium,agglutinative,SVO,slavic
ca,catalan,medium,agglutinative,SVO,romance
ceb,cebuano,medium,fusional,VSO,malayo-polynesian
ny,chichewa,medium,fusional,SVO,atlantic–congo
zh-cn,chinese,high,isolating,SVO,chinese
co,corsican,medium,isolating,SVO,romance
hr,croatian,medium,agglutinative,SVO,slavic
cs,czech,medium,fusional,SVO,slavic
da,danish,medium,fusional,SVO,germanic
nl,dutch,high,fusional,SVO,germanic
en,english,high,fusional,SVO,germanic
eo,esperanto,medium,fusional,SVO,N/A
et,estonian,medium,fusional,SVO,finnic
tl,filipino,low,agglutinative,VSO,malayo-polynesian
fi,finnish,medium,fusional,SVO,finnic
fr,french,high,fusional,SVO,romance
fy,frisian,medium,fusional,SVO,germanic
gl,galician,medium,fusional,SVO,romance
ka,georgian,low,agglutinative,SOV,kartvelian
de,german,high,fusional,SVO,germanic
el,greek,low,fusional,SVO,greek
gu,gujarati,low,agglutinative,SOV,indo-iranian
ht,haitian creole,low,fusional,SVO,romance
ha,hausa,low,agglutinative,SVO,chadic
haw,hawaiian,low,agglutinative,VSO,malayo-polynesian
he,hebrew,medium,introflexive,SVO,semitic
hi,hindi,low,agglutinative,SOV,indo-iranian
hmn,hmong,low,fusional,SVO,hmongic
hu,hungarian,medium,agglutinative,SVO,hungarian
is,icelandic,low,agglutinative,SVO,germanic
ig,igbo,low,agglutinative,SVO,atlantic–congo
id,indonesian,low,fusional,SVO,malayo-sumbawan
ga,irish,extremely_low,fusional,VSO,celtic
it,italian,high,fusional,SVO,romance
ja,japanese,high,agglutinative,SOV,japanese
jw,javanese,low,agglutinative,SVO,malayo-polynesian
kn,kannada,low,agglutinative,SOV,dravidian
kk,kazakh,low,isolating,SOV,turkic
km,khmer,low,isolating,SVO,khmer
ko,korean,medium,agglutinative,SOV,korean
ku,kurdish (kurmanji),extremely_low,fusional,SOV,indo-iranian
ky,kyrgyz,low,isolating,SOV,turkic
lo,lao,low,isolating,SVO,tai
la,latin,low,fusional,SVO,romance
lv,latvian,low,isolating,SVO,slavic
lt,lithuanian,high,fusional,SVO,slavic
lb,luxembourgish,high,fusional,SVO,germanic
mk,macedonian,extremely_low,isolating,SVO,slavic
mg,malagasy,extremely_low,agglutinative,VOS,malayo-polynesian
ms,malay,low,isolating,SVO,malayo-polynesian
ml,malayalam,extremely_low,agglutinative,SOV,malayo-polynesian
mt,maltese,extremely_low,fusional,VSO,semitic
mi,maori,extremely_low,isolating,VSO,malayo-polynesian
mr,marathi,extremely_low,agglutinative,SOV,indo-iranian
mn,mongolian,extremely_low,isolating,SOV,mongolic
my,myanmar (burmese),extremely_low,agglutinative,SOV,burmish
ne,nepali,extremely_low,fusional,SOV,indo-iranian
no,norwegian,extremely_low,agglutinative,SVO,germanic
or,odia,extremely_low,fusional,SOV,indo-iranian
ps,pashto,extremely_low,fusional,SOV,indo-iranian
fa,persian,medium,fusional,SOV,indo-iranian
pl,polish,extremely_low,agglutinative,SVO,slavic
pt,portuguese,high,fusional,SVO,romance
pa,punjabi,extremely_low,fusional,SOV,indo-iranian
ro,romanian,extremely_low,isolating,SVO,romance
ru,russian,high,fusional,SVO,slavic
sm,samoan,extremely_low,fusional,VSO,malayo-polynesian
gd,scots gaelic,extremely_low,fusional,VSO,germanic
sr,serbian,extremely_low,fusional,SVO,slavic
st,sesotho,extremely_low,fusional,SVO,atlantic–congo
sn,shona,extremely_low,agglutinative,SVO,atlantic–congo
sd,sindhi,extremely_low,fusional,SOV,indo-iranian
si,sinhala,extremely_low,isolating,SOV,indo-iranian
sk,slovak,extremely_low,fusional,SVO,slavic
sl,slovenian,extremely_low,agglutinative,SVO,slavic
so,somali,extremely_low,agglutinative,SOV,cushitic
es,spanish,high,fusional,SVO,romance
su,sundanese,extremely_low,agglutinative,SVO,malayo-polynesian
sw,swahili,extremely_low,agglutinative,SVO,atlantic–congo
sv,swedish,extremely_low,fusional,SVO,germanic
tg,tajik,extremely_low,agglutinative,SOV,indo-iranian
ta,tamil,low,agglutinative,SOV,dravidian
te,telugu,extremely_low,agglutinative,SOV,dravidian
th,thai,medium,isolating,SVO,tai
tr,turkish,medium,agglutinative,SOV,turkic
uk,ukrainian,extremely_low,fusional,SVO,slavic
ur,urdu,extremely_low,fusional,SOV,indo-iranian
ug,uyghur,extremely_low,agglutinative,SOV,turkic
uz,uzbek,extremely_low,agglutinative,SOV,turkic
vi,vietnamese,medium,isolating,SVO,vietic
cy,welsh,extremely_low,fusional,VSO,celtic
xh,xhosa,extremely_low,agglutinative,SVO,atlantic–congo
yi,yiddish,extremely_low,fusional,SVO,germanic
yo,yoruba,extremely_low,isolating,SVO,atlantic–congo
zu,zulu,extremely_low,agglutinative,SVO,atlantic–congo